title,year,id,imdb_id,rating
Roundhay Garden Scene,1888,8040,0392728,0
Pauvre Pierrot,1892,5433,0000003,0
"The Execution of Mary, Queen of Scots",1895,6200,0132134,0
Tables Turned on the Gardener,1895,5444,0000014,0
Une nuit terrible,1896,5406,0000131,0
La fee aux choux,1896,5445,0223341,0
The Arrival of a Train,1896,6199,0000012,0
The House of the Devil,1896,4982,0000091,0
Bataille de neige,1897,9328,0000041,0
Four Heads Are Better Than One,1898,4978,0135696,0
The Temptation of St. Anthony,1898,5411,0224240,0
"The Astronomer&#39;s Dream; or Man in the Moon, The",1898,5410,0000211,0
Cinderella,1899,5914,0000230,3
A Turn of the Century Illusionist,1899,4994,0000246,0
Let Me Dream Again,1900,5438,0000313,0
Hamlet ( Le Duel d’Hamlet),1900,4346,0000306,0
Sherlock Holmes Baffled,1900,1594,0291476,0
The One-Man Band,1900,4993,0135453,0
Grandma Threading Her Needle,1900,5069,0377995,0
The Enchanted Drawing,1900,4271,0000300,0
"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,5072,0230746,0
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,4345,0257654,0
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,4344,0000272,0
The Doctor and the Monkey,1900,5446,0227438,0
Grandma’s Reading Glass,1900,4343,0000304,0
Reve et realite,1901,5437,0258104,0
L’homme a la tete en caoutchouc,1901,4995,0000359,0
Bluebeard,1901,5500,0131934,0
Le voyage dans la lune,1902,1252,0000417,0
Mephistopheles’ School of Magic,1902,5443,0000413,0
"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",1902,5432,0367177,0
Gulliver’s Travels,1902,5431,0229024,0
The Great Train Robbery,1903,1319,0000439,0
The Monster,1903,5064,0223755,0
The Enchanted Well,1903,5683,0189498,0
The Music Lover,1903,5063,0000455,0
The Infernal Boiling Pot,1903,5002,0135180,0
The Untamable Whiskers,1904,5601,0135631,0
The Cook in Trouble,1904,5224,0215664,0
The Living Playing Cards,1904,5404,0135179,0
Le voyage a travers l’impossible,1904,6135,0000499,0
The Scheming Gambler&#39;s Paradise,1905,5003,0135690,0
The Black Imp,1905,5602,0215575,0
The Story of the Kelly Gang,1906,1349,0000574,1
The 400 Tricks of the Devil,1906,5684,0000567,0
The Consequence of Feminism,1906,7215,1260944,0
The Hilarious Posters,1906,5603,0135122,0
A Funny Shave,1906,6206,0449172,0
Humorous Phases of Funny Faces,1906,5435,0000554,0
The Mysterious Retort,1906,5024,0216016,0
Good Glue Sticks,1907,5615,0215817,0
The Eclipse: Courtship of the Sun and Moon,1907,5223,0215737,0
Unusual Cooking,1908,6231,1802750,0
Le barometre de la fidelite,1909,6211,0277596,1
The Princess Nicotine; or Smoke Fairy,1909,4409,0001009,2
The Devilish Tenant,1909,5635,0127948,0
A Trip to Mars,1910,5685,1515725,0
Tilly the Tomboy Visits the Poor,1910,1464,0232821,3
Mobilier fidele,1910,4983,0486978,0
Cleopatra,1912,2003,0002101,2
Max and the Donkey,1912,5357,0277865,0
The Invaders,1912,2005,0002281,0
The Voyage of the Bourrichon Family,1913,5364,0003512,0
Suspense,1913,5915,0003424,0
A Florida Enchantment,1914,4457,0003973,2
The Birth of a Nation,1915,1258,0004972,2
Lady Windermere’s Fan,1916,2014,0279914,3
The Vagabond,1916,5368,0007507,0
Snow White,1916,7004,0007361,3
Intolerance: Love’s Struggle Throughout the Ages,1916,5944,0006864,0
Gretchen the Greenhorn,1916,2008,0006745,3
A Tale of Two Cities,1917,1981,0008652,3
"Raffles, the Amateur Cracksman",1917,2019,0008489,2
The Poor Little Rich Girl,1917,1994,0008443,3
A Romance of the Redwoods,1917,2015,0008519,0
Rebecca of Sunnybrook Farm,1917,1993,0008499,3
Tarzan of the Apes,1918,1996,0009682,3
Are Crooks Dishonest?,1918,5441,0008844,0
Ich mochte kein Mann sein,1918,7108,0010281,3
Stella Maris,1918,2007,0009652,3
Broken Blossoms or The Yellow Man and the Girl,1919,2588,0009968,0
When the Clouds Roll by,1919,2018,0010879,3
Within Our Gates,1920,5948,0011870,3
Pollyanna,1920,1991,0011588,3
The Cabinet of Dr. Caligari,1920,1306,0010323,0
Orphans of the Storm,1921,1263,0012532,3
The Blot,1921,4204,0011979,3
The Kid,1921,3945,0012349,0
K&ouml;rkarlen (The Phantom Carriage),1921,5898,0012364,2
The Phantom,1922,1631,0013496,2
The Paleface,1922,5361,0012543,0
Nathan der Weise,1922,1778,0013428,2
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,5967,0013086,3
Foolish Wives,1922,5958,0013140,3
The Man from Beyond,1922,2001,0013367,1
"Nosferatu, eine Symphonie des Grauens",1922,1307,0013442,2
H&auml;xan: Witchcraft Through the Ages,1922,3800,0013257,3
Nanook of the North,1922,5901,0013427,1
Our Hospitality,1923,5949,0014341,0
Why Worry?,1923,1967,0014611,0
The Silent Command,1923,1998,0014469,2
La souriante Madame Beudet,1923,5888,0013626,3
A Woman of Paris,1923,8947,0014624,2
Safety Last!,1923,1961,0014429,0
The Great White Silence,1924,2413,1764657,0
Wild Oranges,1924,1960,0015498,0
Die Nibelungen,1924,1337,0015175,2
Manhandled,1924,2020,0015116,3
The Navigator,1924,2009,0015163,0
Girl Shy,1924,2016,0014945,0
The Thief of Bagdad,1924,1264,0015400,0
Sherlock Jr.,1924,2011,0015324,0
Greed,1924,8458,0015881,3
Kriemhild’s Revenge,1924,1338,0015174,2
Help!,1924,6209,0013845,0
The Gold Rush,1925,1309,0015864,0
